Id,SalePrice
2658,147611.16
2718,199942.42
2414,218800.25
1989,92508.2
625,194019.93
333,78840.4
1327,96021.59
858,152355.44
95,203379.49
1568,191005.16
2482,172838.7
1364,123839.83
2584,181235.42
818,276853.81
2673,168557.45
2089,150905.91
1297,161916.3
790,124321.51
2616,219907.32
720,197013.62
222,142429.38
557,109663.07
1148,213519.1
2766,175838.86
534,207156.19
1452,113786.97
630,127340.37
2648,116069.17
125,151221.21
1904,24912.25
1670,88706.66
756,62112.35
717,219206.43
1032,155540.97
852,236774.61
1731,203449.16
2639,107921.01
2071,89770.72
1267,112951.7
1851,208955.53
567,154495.23
2439,238568.71
1898,147638.83
647,165967.4
2256,233908.96
979,107134.07
1444,232556.42
2485,115407.17
157,110448.88
88,123085.39
2003,109101.53
186,211134.82
1425,272911.17
2695,118260.55
738,91942.62
395,153638.98
1353,183600.55
1878,154984.78
390,198277.06
1456,237623.07
1103,299269.15
1387,111780.61
2070,154714.88
1199,204071.81
2479,178816.82
501,310863.37
2362,89488.72
1718,195821.97
2188,38255.64
1483,157438.58
2557,50994.92
437,316919.18
2224,227134.19
1628,210200.57
397,127543.44
587,220319.91
2182,520197.85
971,196798.87
2611,161678.96
1887,109438.68
2399,307216.72
2148,233408.32
304,115339.23
1997,113429.45
2817,78429.29
1431,184512.54
427,301049.13
263,114184.12
598,187685.02
2895,267480.2
687,140663.03
1822,123039.05
2191,79311.74
179,128698.18
1009,227289.4
2010,98175.84
1991,153651.7
1411,172697.59
1721,262494.57
1144,187303.03
593,237590.57
575,267960.93
1249,223536.5
1604,123303.18
1064,394444.55
1923,185505.12
1988,94707.35
2325,185246.83
114,211824.61
2700,217673.32
217,161360.02
343,192152.21
386,255969.04
2005,124882.33
2908,156399.6
1814,235899.11
2446,427006.01
208,131405.61
1679,110369.03
822,303559.29
6,200400.87
1781,344047.5
2397,269517.85
2340,297690.92
1618,178183.15
2843,90418.76
1061,318590.75
2786,115617.93
1935,122438.3
1341,92218.61
521,288875.1
2136,136792.57
996,206100.23
227,153587.54
135,170449.29
1167,162733.85
294,232583.48
1776,216581.78
540,201980.01
1717,191339.44
2303,119306.04
116,192380.4
127,127401.81
1371,127584.31
1014,216227.62
1507,114751.56
702,146585.88
750,148888.17
261,159083.4
1559,50244.25
577,243542.0
2812,218229.26
2080,173154.43
1368,128217.14
2376,122122.03
659,88691.57
1235,123034.8
332,77904.11
1917,142181.32
2094,241213.11
1460,279732.18
1471,211571.66
1509,115524.39
1922,120933.59
433,409342.34
460,277912.43
1116,266552.26
1137,177108.43
53,195217.25
2354,251783.36
1475,224735.26
1761,475480.42
842,132269.1
2739,173297.34
2509,171213.88
1007,240737.89
2610,194669.14
1952,76494.3
2719,200389.23
2921,77429.12
1966,140467.17
292,136752.64
1204,227997.11
1829,272310.71
2419,205573.05
391,184864.73
798,132429.63
481,217518.27
193,207698.67
555,119117.36
899,65785.7
2357,207122.93
328,120949.29
1356,107843.27
1154,108357.35
1730,192450.31
2249,153678.4
1119,259100.58
2856,145785.46
1394,147502.26
2587,130895.87
61,312775.86
2661,186665.36
2711,142582.19
1147,186131.36
757,126642.97
2623,95055.24
2378,167546.88
1413,144429.12
1722,249023.65
1112,216298.12
1623,199432.25
1201,202236.0
1513,86319.88
957,418269.78
1171,277968.6
1145,211023.59
2726,262751.52
703,179431.34
760,64598.55
1964,125840.51
2512,186722.2
159,157165.45
1281,188286.74
468,192747.97
290,125747.21
665,89702.2
1463,286858.37
1792,232352.23
923,143744.12
500,264599.99
1408,172373.43
331,62790.33
170,115687.02
2192,82921.88
2571,275923.95
2314,183912.07
2647,81284.29
422,372376.4
2457,312510.25
1838,216388.93
2805,272163.33
1645,177285.99
1711,291852.21
2825,262950.1
322,327283.34
2103,274126.63
342,135038.5
600,92910.53
488,206053.98
1725,308789.35
2246,262411.61
2847,183638.64
806,268908.96
530,240029.49
963,198991.67
2678,44463.62
171,64507.85
2401,365815.53
805,233699.48
2259,259412.31
1748,210152.58
1361,154487.58
1677,137363.96
1406,166806.88
2322,252796.1
688,178520.21
143,141272.45
804,227986.63
1214,172857.87
2828,157722.55
1999,184424.26
2467,202170.04
2665,177899.38
1538,340805.07
398,87613.57
2822,140682.52
2157,146539.99
1856,179121.13
1269,116723.99
2570,126936.69
2320,260621.13
1517,133697.75
2304,131924.68
1312,77837.02
2012,136615.14
506,246982.09
2865,204156.73
2367,121142.79
554,108499.53
238,127680.26
1954,110675.24
2488,182829.24
2291,80278.42
1969,112675.86
2725,164524.27
1482,157438.58
2763,211751.89
