Id,SalePrice
2658,153599.91
2718,169839.87
2414,205907.32
1989,105429.53
625,182336.4
333,79027.63
1327,109528.1
858,147338.95
95,186781.2
1568,179906.1
2482,139785.01
1364,124405.97
2584,166965.2
818,242113.6
2673,165928.39
2089,145726.18
1297,195492.55
790,112465.89
2616,200185.83
720,172867.78
222,148208.79
557,114105.92
1148,177745.86
2766,163470.23
534,191658.2
1452,123701.54
630,140075.24
2648,166564.56
125,164262.39
1904,55750.16
1670,102764.48
756,82514.58
717,217839.46
1032,145708.32
852,223859.4
1731,197822.05
2639,124408.34
2071,84907.05
1267,133683.0
1851,216092.73
567,156355.45
2439,212386.6
1898,150992.01
647,160735.33
2256,188114.45
979,103884.57
1444,215872.06
2485,131825.88
157,120472.32
88,125009.1
2003,107139.14
186,209382.24
1425,248633.6
2695,126100.6
738,107572.55
395,151315.26
1353,182048.39
1878,150987.25
390,171980.55
1456,218782.29
1103,313252.03
1387,125487.38
2070,146767.96
1199,179208.44
2479,175151.41
501,317879.29
2362,103371.99
1718,209582.99
2188,82790.16
1483,137605.52
2557,88207.45
437,377480.1
2224,229413.36
1628,191505.0
397,133993.73
587,187423.37
2182,493502.39
971,172594.3
2611,156809.48
1887,102837.63
2399,362636.74
2148,216961.59
304,113207.06
1997,124553.9
2817,85750.78
1431,198764.41
427,376043.82
263,118713.28
598,179935.75
2895,247194.44
687,134084.13
1822,126455.53
2191,92149.2
179,139712.7
1009,237011.71
2010,107314.49
1991,147426.36
1411,157295.02
1721,246048.51
1144,179942.56
593,205012.24
575,293563.39
1249,204040.72
1604,124739.3
1064,426296.58
1923,171939.54
1988,105107.96
2325,173449.04
114,205128.25
2700,182445.23
217,146134.35
343,177671.14
386,246667.09
2005,111450.49
2908,170325.05
1814,215864.33
2446,419981.62
208,139639.56
1679,106081.71
822,311255.78
6,179756.48
1781,362468.3
2397,343623.77
2340,294530.71
1618,164895.7
2843,123854.22
1061,371383.24
2786,119602.79
1935,131739.4
1341,112454.6
521,275924.72
2136,135765.09
996,187044.35
227,148118.63
135,173228.4
1167,147678.58
294,235702.22
1776,230089.7
540,192289.02
1717,214088.68
2303,131904.5
116,172333.75
127,127400.54
1371,123665.16
1014,187779.22
1507,95310.78
702,136779.75
750,146023.59
261,148003.11
1559,44089.63
577,228410.52
2812,203907.58
2080,164373.56
1368,128124.96
2376,131380.95
659,105439.03
1235,129490.78
332,78206.68
1917,137974.29
2094,219914.14
1460,252279.65
1471,205480.18
1509,119177.75
1922,127908.77
433,439684.84
460,310958.47
1116,247263.67
1137,176287.45
53,171407.01
2354,267282.03
1475,209267.47
1761,509081.84
842,147655.09
2739,156252.39
2509,152247.74
1007,204123.9
2610,186061.05
1952,140984.82
2719,174745.45
2921,78523.92
1966,140258.09
292,147188.93
1204,195087.71
1829,253640.56
2419,187813.88
391,166206.76
798,119969.9
481,188250.92
193,214908.14
